Counting,B11,B12,B13,B14,B15,B21,B22,B23,B24,B25,B41,B42,B43,B44,B45,B51,B52,B53,B54,B55,M11,M12,M13,M14,M15,M21,M22,M23,M24,M25,M41,M42,M43,M44,M45,M51,M52,M53,M54,M55
FL,56,47,37,42,45,33,33,34,33,55,19,39,13,26,24,19,35,30,24,15,20,21,31,23,39,18,25,20,24,21,39,20,26,36,37,16,32,13,24,27
G,39,27,40,49,70,42,43,53,55,49,60,63,31,36,61,54,69,73,96,83,68,23,60,40,71,80,82,71,50,65,130,105,115,103,114,48,82,53,74,54
W,26,47,30,46,53,41,29,40,53,78,3,40,5,14,14,18,11,13,18,14,20,13,20,22,111,10,9,7,5,8,16,21,22,13,21,27,30,24,18,27
P,8,7,9,5,8,3,5,2,13,10,7,5,2,4,6,7,4,2,9,4,0,5,8,6,2,6,5,2,6,1,7,5,8,4,4,4,3,5,5,4
R,8,18,17,11,11,10,18,14,19,14,15,15,19,24,14,22,19,12,28,19,6,23,20,20,23,9,25,8,19,13,13,20,23,20,22,14,15,15,7,11
Yield (g),143,169,199,100,67,144,264,279,398,266,256,356,318,507,258,424,407,166,473,289,84,479,341,421,445,77,517,106,192,194,232,451,394,297,417,278,305,340,156,303
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
