Station ID,Date Time,Soil Temp (C),Temp @ 60cm (C),Temp @ 2m (C),Temp @ 10m (C),Relative Humidity (%),Dew Point Temp (C),Rainfall Amount (in),Wind Speed (mph),Wind Direction (deg),Solar Radiation (w/m2)
250,2025-01-01 00:00:00,18.63,18.42,18.36,18.93,91.9,17.02,0,6.89,251.8,0.05
250,2025-01-01 00:15:00,18.56,18.33,18.2,18.82,91.9,16.86,0,6.5,256.5,0.06
250,2025-01-01 00:30:00,18.51,18.12,18.11,18.65,92.2,16.82,0,6.01,255.4,0.06
250,2025-01-01 00:45:00,18.44,18.11,18.1,18.59,92.6,16.88,0,6.53,250.1,0.05
250,2025-01-01 01:00:00,18.39,18.35,18.26,18.69,92.7,17.06,0,6.27,257.4,0.05
250,2025-01-01 01:15:00,18.37,18.21,18.28,18.71,92.8,17.1,0,6.29,260.5,0.05
250,2025-01-01 01:30:00,18.33,18.43,18.37,18.78,92.6,17.15,0,6.97,262,0.05
250,2025-01-01 01:45:00,18.3,18.73,18.67,18.96,92.1,17.36,0,8.91,268.3,0.06
250,2025-01-01 02:00:00,18.32,18.91,18.72,19.08,91.5,17.31,0,8.48,273.4,0.05
250,2025-01-01 02:15:00,18.35,18.84,18.67,19.04,91.2,17.21,0,7.74,274.1,0.06
250,2025-01-01 02:30:00,18.38,18.67,18.44,18.91,90.8,16.91,0,7.67,271.5,0.06
250,2025-01-01 02:45:00,18.37,18.44,18.26,18.75,91.1,16.78,0,8.24,267.6,0.06
250,2025-01-01 03:00:00,18.34,18.22,18.13,18.53,91.7,16.76,0,6.38,275.1,0.05
250,2025-01-01 03:15:00,18.29,18.28,18.1,18.41,91.5,16.69,0,5.78,287,0.05
250,2025-01-01 03:30:00,18.26,18.14,17.82,18.25,90.3,16.21,0,5.73,299.4,0.05
250,2025-01-01 03:45:00,18.22,17.92,17.69,18.09,90,16.03,0,4.3,306,0.06
250,2025-01-01 04:00:00,18.14,17.81,17.5,17.92,89.6,15.77,0,5.78,311.1,0.05
250,2025-01-01 04:15:00,18.08,17.53,17.19,17.65,89.1,15.38,0,5.76,315.5,0.05
250,2025-01-01 04:30:00,18.01,17.06,16.8,17.27,89.5,15.06,0,5.01,318.1,0.05
250,2025-01-01 04:45:00,17.9,16.69,16.49,16.93,89.8,14.81,0,5.16,315.7,0.05
250,2025-01-01 05:00:00,17.77,16.41,16.19,16.66,89.6,14.48,0,4.69,316.5,0.05
250,2025-01-01 05:15:00,17.63,16.03,15.92,16.35,90,14.28,0,4.09,314.6,0.05
250,2025-01-01 05:30:00,17.48,15.75,15.65,16.07,90.2,14.05,0,4.05,317.5,0.05
250,2025-01-01 05:45:00,17.34,15.4,15.3,15.8,90.2,13.7,0,3.62,318.8,0.05
250,2025-01-01 06:00:00,17.19,15.06,14.97,15.51,89.9,13.33,0,3.92,320.1,0.06
250,2025-01-01 06:15:00,17.05,14.82,14.7,15.25,89.5,12.99,0,4.61,323.2,0.06
250,2025-01-01 06:30:00,16.9,14.54,14.36,15,88.2,12.43,0,3.75,331.8,0.06
250,2025-01-01 06:45:00,16.74,14.16,14.09,14.62,87.2,11.99,0,4.79,336.1,0.06
250,2025-01-01 07:00:00,16.59,14,14.08,14.41,76.35,9.99,0,7.07,352.4,0.08
250,2025-01-01 07:15:00,16.41,13.64,13.65,14.24,76.74,9.64,0,6.84,354.3,0.97
250,2025-01-01 07:30:00,16.21,13.26,13.16,13.89,80.4,9.86,0,6.01,352.7,4.92
250,2025-01-01 07:45:00,16.01,13.2,13.16,13.67,80.5,9.88,0,6.04,345.3,11.83
250,2025-01-01 08:00:00,15.82,13.22,13.24,13.73,79.27,9.73,0,6.21,346.5,19.14
250,2025-01-01 08:15:00,15.67,13.37,13.3,13.78,79.05,9.75,0,6.6,347.8,23.27
250,2025-01-01 08:30:00,15.54,13.57,13.57,13.9,74.49,9.12,0,6.82,350.9,27.78
250,2025-01-01 08:45:00,15.43,13.78,13.85,13.95,71.01,8.69,0,8.14,355.1,153.6
250,2025-01-01 09:00:00,15.35,14.31,14.16,13.93,72.11,9.21,0,7.7,359.3,204.2
250,2025-01-01 09:15:00,15.37,14.34,13.88,13.83,70.62,8.63,0,9.02,354.5,245.5
250,2025-01-01 09:30:00,15.45,14.73,14.33,13.93,66.78,8.24,0,7.05,0.69,284.4
250,2025-01-01 09:45:00,15.59,14.9,14.4,14.05,65.66,8.06,0,7.2,0.97,322.5
250,2025-01-01 10:00:00,15.77,14.96,14.44,14.08,62.47,7.36,0,7.71,352.8,358.2
250,2025-01-01 10:15:00,15.97,15.13,14.73,14.13,63.45,7.87,0,8.79,352.4,387.9
250,2025-01-01 10:30:00,16.17,15.43,14.98,14.39,60.93,7.51,0,7.33,348.2,423.4
250,2025-01-01 10:45:00,16.41,15.98,15.07,14.69,59.65,7.28,0,6.3,351.1,454
250,2025-01-01 11:00:00,16.68,16.07,15.31,14.86,57.9,7.07,0,6.37,338,482.3
250,2025-01-01 11:15:00,16.95,16.31,15.31,15.03,57.71,7.03,0,5.16,341.8,505
250,2025-01-01 11:30:00,17.24,16.8,15.93,15.36,55.89,7.14,0,4.69,10.91,524.3
250,2025-01-01 11:45:00,17.52,17.37,16.41,15.76,52.9,6.78,0,4.72,9.25,539.6
250,2025-01-01 12:00:00,17.79,17.36,16.49,15.88,54.49,7.29,0,4.68,29.91,537.3
250,2025-01-01 12:15:00,18.04,17.33,16.41,15.97,53.27,6.88,0,4.61,325.9,518
250,2025-01-01 12:30:00,18.26,18.25,17.72,16.73,53.02,8.03,0,2.81,41.09,554
250,2025-01-01 12:45:00,18.47,18.34,17.17,16.72,54.73,7.99,0,3.4,348.6,562.5
250,2025-01-01 13:00:00,18.65,18.43,17.55,17.01,51.5,7.45,0,4.2,32.66,557.4
250,2025-01-01 13:15:00,18.79,18.78,17.99,17.26,50.18,7.47,0,4.01,14.82,549.9
250,2025-01-01 13:30:00,18.89,19.28,18.27,17.64,51.26,8.04,0,3.99,15.38,541.6
250,2025-01-01 13:45:00,18.98,19.09,18.14,17.76,50.41,7.68,0,4.2,16.69,458.8
250,2025-01-01 14:00:00,19.07,19,18.75,17.61,50.36,8.23,0,4.89,45.29,489.7
250,2025-01-01 14:15:00,19.13,20.07,19.19,18.57,44.46,6.8,0,5.31,349.8,496.3
250,2025-01-01 14:30:00,19.22,20.35,19.06,18.84,39.86,5.11,0,6.16,309.5,474.1
250,2025-01-01 14:45:00,19.33,20.44,19.59,18.84,40.1,5.67,0,6.58,287.5,429.4
250,2025-01-01 15:00:00,19.41,20.53,19.39,19.12,37.2,4.41,0,6.82,302,418
250,2025-01-01 15:15:00,19.47,20.32,20.08,19.15,38.58,5.55,0,7.19,333.6,382.9
250,2025-01-01 15:30:00,19.51,20.15,19.42,19.09,41.11,5.87,0,7.14,335.2,340.2
250,2025-01-01 15:45:00,19.51,20.44,19.45,19.24,37.4,4.54,0,6.32,306.1,306.6
250,2025-01-01 16:00:00,19.49,20.02,19.66,19.07,38.79,5.25,0,5.7,295.5,264.2
250,2025-01-01 16:15:00,19.43,19.88,19.25,18.94,38.12,4.64,0,5.66,326.9,227
250,2025-01-01 16:30:00,19.34,19.42,18.46,18.73,40.13,4.66,0,5.78,324.6,155
250,2025-01-01 16:45:00,19.2,19.08,18.55,18.57,42.36,5.52,0,4.36,321.7,132.9
250,2025-01-01 17:00:00,19.02,18.74,17.99,18.35,42.41,5.03,0,4.06,317.2,86.4
250,2025-01-01 17:15:00,18.81,17.94,17.43,17.88,45.17,5.43,0,2.87,313.7,51.41
250,2025-01-01 17:30:00,18.58,17.22,16.74,17.52,48.7,5.89,0,1.9,301.3,32.61
250,2025-01-01 17:45:00,18.34,15.66,15.17,16.7,54.61,6.09,0,1.64,300.4,7.44
250,2025-01-01 18:00:00,18.1,13.85,14.07,15.63,60.93,6.65,0,1.54,313.2,1.79
250,2025-01-01 18:15:00,17.83,13.29,13.38,14.81,64.19,6.76,0,1.64,315.3,0.13
250,2025-01-01 18:30:00,17.56,12.51,12.53,14.72,66.41,6.44,0,1.61,305,0.06
250,2025-01-01 18:45:00,17.29,11.71,12.59,14.36,65.37,6.27,0,1.79,314.3,0.05
